Jurisdiction ,Bill Number ,Bill Title ,Bill Status ,Bill Summary ,Category ,Year
Nevada,S 165 ,Emerging Technologies Task Force ,Failed,"Relates to technology, creates the Emerging Technologies Task Force within the Department of Business and Industry, prescribes the membership, powers and duties of the task Force, authorizes the director of the to create an Opportunity Center for Emerging Technology Businesses as part of the Office of Business Finance and Planning of the Department, provides other matters properly relating thereto. ",Studies ,2023
Nevada,S 419 ,Revisions Relating To Public Health ,Vetoed ,"Relates to public health, requires the adoption of a framework for the electronic transmittal, maintenance and exchange of certain health information, requires governmental entities, health care providers, insurers and insurance administrators to maintain, transmit and exchange health information electronically, requires the suspension of the license, certificate, registration or similar credential of a health care provider, insurer or insurance administrator that fails to comply with that requirement. ",Health Use; Studies ,2023
Nevada,No 2024 legislative session ,No AI Bill,No AI Bill,No AI Bill,No AI Bill,2024
New Hampshire,None,No AI Bill,No AI Bill,No AI Bill,No AI Bill,2019
New Hampshire,None,No AI Bill,No AI Bill,No AI Bill,No AI Bill,2020
New Hampshire,None,No AI Bill,No AI Bill,No AI Bill,No AI Bill,2021
New Hampshire,None,No AI Bill,No AI Bill,No AI Bill,No AI Bill,2022
New Hampshire,None ,No AI Bill,No AI Bill,No AI Bill,No AI Bill,2023
New Hampshire,H 1368 ,Termination of a Tenancy ,Failed,Prohibits evictions based upon certain vertical price fixing programs used by landlords. ,Housing; Private Sector Use ,2024
New Hampshire,H 1599 ,Use of Artificial Intelligence for Personal Defense ,Failed,"Affirms that, under the Second Amendment to the U.S. Constitution, a person may use autonomous AI for defense purposes, subject to specified limitations. ",Private Right of Action,2024
New Hampshire,H 1432 ,Deepfakes ,Enacted,Prohibits certain uses of deepfakes and creates a private claim of action; establishes the crime of fraudulent use of deepfakes and sets penalties therefor; establishes a cause of action for fraudulent use of deepfakes; prohibits registration of lobbyists who have been found to have fraudulently used deepfakes in certain cases. ,Elections ,2024
New Hampshire,H 1688 ,Artificial Intelligence ,Enacted,"Relates to the use of AI by state agencies; prohibits state agencies from using AI to manipulate, discriminate against or surveil members of the public. ",Government Use; Responsible Use ,2024
New Jersey ,A 5112,Artificial Intelligence Economic Growth Study,Failed,Requires commissioner of labor and workforce development to conduct a study and issue a report on the impact of artificial intelligence on economic growth.,Effect on Labor/Employment; Studies,2019
New Jersey ,A 5161,Integrated Digital Experience,Failed,Relates to the 21st Century Integrated Digital Experience Act.,Government Use,2019
New Jersey ,A 5430,Algorithmic Accountability,Failed,Relates to the New Jersey Algorithmic Accountability Act; requires certain businesses to conduct automated decision and data protection impact assessments.,Impact Assessment; Private Sector Use,2019
New Jersey ,S 3619,21st Century Integrated Digital Experience Act,Pending ,Concerns the 21st Century Integrated Digital Experience Act.,Government Use,2019
New Jersey ,A 195,Artificial Intelligence Economic Growth Study,Pending ,Requires commissioner of Labor and Workforce Development to conduct a study and issue a report on the impact of artificial intelligence on economic growth.,Effect on Labor/Employment Studies,2020
New Jersey ,A 2172,Edison Innovation Science and Technology Fund,Failed,"Establishes Edison Innovation Science and Technology Fund in Economic Development Authority to provide grants for certain science and technology–based university research, appropriates a specified amount.",Education/Training,2020
New Jersey ,A 2614,21st Century Integrated Digital Experience Act,Pending ,"Creates the 21st Century Integrated Digital Experience Act, requires each state agency to develop and submit an information technology modernization and improvement plan each year, requires the chief technology officer to evaluate on an annual basis the feasibility of using artificial intelligence, machine learning, and commercial cloud computing services to provide public services.",Government Use,2020
New Jersey ,A 4382,Economic Redevelopment and Growth Programs,Failed,"Revises Grow New Jersey Assistance Program and Economic Redevelopment and Growth Grant Program; creates Chief Compliance Officer in Economic Development Authority; establishes Food Desert Elimination Program, Transformative Project Incentive Program, and Community Anchored Development Program. Includes artificial intelligence in definition of targeted industries.",Effect on Labor/Employment,2020
New Jersey ,S 1943,Automated Decision System Discrimination,Failed,Prohibits certain discrimination by automated decision systems.,Private Sector Use,2020
New Jersey ,S 2723,21st Century Integrated Digital Experience Act,Pending ,Concerns the 21st Century Integrated Digital Experience Act.,Government use,2020
New Jersey ,S 2723,21st Century Integrated Digital Experience Act,Enacted,Concerns the 21st Century Integrated Digital Experience Act.,Government Use,2021
New Jersey ,A 195,Artificial Intelligence Economic Growth Study,Failed,Requires commissioner of Labor and Workforce Development to conduct a study and issue a report on the impact of artificial intelligence on economic growth.,Effect on Labor/Employment Studies,2021
New Jersey ,A 2614,21st Century Integrated Digital Experience Act,Failed,"Creates the 21st Century Integrated Digital Experience Act, requires each state agency to develop and submit an information technology modernization and improvement plan each year, requires the chief technology officer to evaluate on an annual basis the feasibility of using artificial intelligence, machine learning, and commercial cloud computing services to provide public services.",Government Use,2021
New Jersey ,A 5651,Automobile Insurers Automated Underwriting System,Failed,Requires automobile insurers to provide policyholders with annual documentation demonstrating no discriminatory outcomes with insurer's automated underwriting system.,Private Sector Use,2021
New Jersey ,A 5969,Build Back Better Fund,Failed,Establishes Build Back Better Fund in Economic Development Authority for certain manufacturing business assistance; creates and funds two business assistance programs in state Redevelopment Authority; appropriates specified amount. Includes artificial intelligence in definition of targeted industries.,Effect on Labor/Employment,2021
New Jersey ,A 168,Artificial Intelligence Economic Growth Study,Pending ,Requires the commissioner of labor and workforce development to conduct study and issue report on impact of artificial intelligence on growth of state economy.,Effect on Labor/Employment; Studies,2022
New Jersey ,A 537,Automobile Insurers Automated Underwriting System,Pending ,Requires automobile insurers to provide policyholders with annual documentation demonstrating no discriminatory outcomes with insurer's automated underwriting system.,Private Sector Use; Responsible Use,2022
New Jersey ,S 1402,Automated Decision System Discrimination,Pending ,Prohibits certain discrimination by automated decision systems.,Health Use; Private Sector Use; Responsible Use,2022
New Jersey ,S 1926,Use of Automated Tools in Hiring Decisions,Pending ,Regulates use of automated tools in hiring decisions to minimize discrimination in employment.,Audit; Notification; Private Sector Use; Responsible Use,2022
New Jersey ,A 4909 ,Use of Automated Tools in Hiring Decisions ,Pending ,Regulates use of automated tools in hiring decisions to minimize discrimination in employment. ,Audit; Notification; Private Sector Use; Responsible Use ,2023
New Jersey ,A 5150 ,Job Loss Due to Automation Information ,Pending ,Requires Department of Labor and Workforce Development to track and maintain information on job loss due to automation. ,Effect on Labor/Employment ,2023
New Jersey ,S 3714 ,Personal Identifiable Information Disclosures ,Pending ,"Regards the New Jersey Disclosure and Accountability Transparency Act (NJ DATA), establishes certain requirements for disclosure and processing of personally identifiable information, establishes Office of Data Protection and Responsible Use in Division of Consumer Affairs. ",Notification ,2023
New Jersey ,S 3876 ,State Agencies Automated Systems Regulations ,Pending ,Concerns about regulation of automated systems and artificial intelligence used by state agencies. ,Government Use ,2023
New Jersey ,A 1781 ,Artificial Intelligence Economic Growth Study ,Pending ,Requires the commissioner of labor and workforce development to conduct a study and issue a report on the impact of AI on the growth of the state economy. ,Effect on Labor/Employment ,2024
New Jersey ,A 3854 ,Hiring Decisions Automated Employment Decision Tools ,Pending ,Regulates use of automated employment decision tools in hiring decisions. ,Audit; Notification; Private Sector Use ,2024
New Jersey ,A 3855 ,Automated Employment Decision Tools Auditing ,Pending ,Creates standards for independent bias auditing of automated employment decision tools. ,Audit; Private Sector Use ,2024
New Jersey ,A 3858 ,Health Insurers Data Collection ,Pending ,Requires collection of data by health insurers regarding health insurance claims and decisions made using automated utilization management systems. ,Health Use ,2024
New Jersey ,A 3911 ,Hiring Process Artificial Intelligence Uses ,Pending ,Regulates use of AI enabled video interview in hiring process. ,Notification; Private Sector Use; ,2024
New Jersey ,A 3912 ,Identity Theft ,Pending ,Extends crime of identity theft to include fraudulent impersonation or false depiction by means of AI or deepfake technology. ,Criminal Use ,2024
New Jersey ,A 4030 ,Use of Automated Tools in Hiring Decisions ,Pending ,Regulates use of automated tools in hiring decisions to minimize discrimination in employment. ,Audit; Notification; Private Sector Use;  ,2024
New Jersey ,A 4292 ,Hospitals and Nursing Homes Interpreter Services ,Pending ,"Requires hospitals and nursing homes to provide access to certain interpreter services for deaf and hard of hearing. including, but not limited to, video remote interpreting services and AI–assisted interpreting services, as approved by the commissioner of health. ",Health Use ,2024
New Jersey ,A 4363 ,Nonprofit Smart Technology Security Infrastructure ,Pending ,Provides funding to nonprofit organizations to implement smart technology and AI systems to enhance security infrastructure. ,Cybersecurity; Private Sector Use ,2024
New Jersey ,A 4399 ,State Agencies Artificial Intelligence Impact Study ,Pending ,"Requires the Commission on Science, Innovation and Technology to study impact of State agencies procuring, implementing, and operating AI. ",Government Use; Studies ,2024
New Jersey ,A 4400 ,Artificial Intelligence Advisory Council ,Pending ,Establishes the state Artificial Intelligence Advisory Council. ,Studies ,2024
New Jersey ,A 4480 ,Misuse of Personal Characteristics ,Pending ,"Establishes a civil right of action for misuse of individual's name, image, likeness, or voice, including infringement using AI technology.  ",Private Right of Action; Responsible Use ,2024
New Jersey ,A 4558 ,Artificial Intelligence Investments ,Pending ,Creates Next New Jersey Program for Artificial Intelligence Investments. ,Effect on Labor/Employment; Taxes ,2024
New Jersey ,A 4639 ,Boards of Education Artificial Intelligence Policies ,Pending ,Requires boards of education to adopt policy on use of video surveillance systems with AI capabilities. ,Education Use ,2024
New Jersey ,AJR 177 ,Do Not Disturb Act ,Pending ,Urges Congress and President to enact Do Not Disturb Act. ,Criminal Use; Private Sector Use ,2024
New Jersey ,S 1438 ,State Agencies Automated Systems Regulations ,Pending ,Regulates use of automated systems and AI by state agencies. ,Government Use; Oversight/Governance; Studies ,2024
New Jersey ,S 1588 ,Use of Automated Tools in Hiring Decisions ,Pending ,Regulates use of automated tools in hiring decisions to minimize discrimination in employment. ,Audit; Effect on Labor/Employment; Notification; Private Sector Use ,2024
New Jersey ,S 2025 ,State Budget ,Pending ,Appropriates state funds and federal funds for the state budget for fiscal year 2025. Education appropriations for AI include K–12 AI Innovation in Education Grants and for AI career and technical education expansion. ,Appropriations; Education/Training; Education Use ,2024
New Jersey ,S 2964 ,Automated Employment Decision Tools Auditing ,Pending ,Creates standards for independent bias auditing of automated employment decision tools. ,Audit; Government Use; Private Sector Use; Responsible Use ,2024
New Jersey ,S 3015 ,Use of Artificial Intelligence Enabled Video Interviews ,Pending ,Regulates use of AI enabled video interview in hiring process. ,Private Sector Use ,2024
New Jersey ,S 3046 ,Automation Job Loss Business and Income Tax Credit ,Pending ,Provides corporation business and gross income tax credit for employment of persons who have experienced job loss due to automation. ,Effect on Labor/Employment ,2024
New Jersey ,S 3143 ,Hospitals and Nursing Homes Interpreter Services ,Pending ,"Requires hospitals and nursing homes to provide access to certain interpreter services for deaf and hard of hearing, including AI–assisted interpreting services. ",Health Use ,2024
New Jersey ,S 3225 ,Businesses Text Based Chats Transcriptions ,Pending ,Requires business using text–based chat to offer transcription of chat to consumer. ,Private Sector Use ,2024
New Jersey ,S 3298 ,Health Insurers Data Collection ,Pending ,Requires collection of data by health insurers regarding health insurance claims and decisions made using automated utilization management systems. ,Health Use ,2024
New Jersey ,S 3357 ,Artificial Intelligence Advisory Council ,Pending ,Establishes the state Artificial Intelligence Advisory Council. ,Studies; Responsible Use ,2024
New Jersey ,S 3398 ,Packaging Product Stewardship Act ,Pending ,Creates the Packaging Product Stewardship Act. Requires the Department of Environmental Protection to conduct a statewide needs assessment which includes researching the recycling capacity and infrastructure in the state and region and the ability for innovative and advanced technologies such as AI and robotics to improve that capacity. ,Government Use; Studies ,2024
New Jersey ,SJR 114 ,Do Not Disturb Act ,Pending ,"Urges Congress and the president to enact Do Not Disturb Act, which expands consumer protections from robocalls including the use of AI for scams.  ",Criminal Use; Private Sector Use; Responsible Use ,2024
New Jersey ,A 4700 ,State Budget ,Enacted,"Makes appropriations for the support of the state government and the several public purposes for the fiscal year; including funding for AI career and technical education expansion, AI innovation in education grants and AI Innovation Challenge. ",Appropriations; Education/Training ,2024
New Jersey ,AR 141 ,Generative Artificial Intelligence and Content Sharing ,Enacted,Urges generative AI and content sharing platforms to make voluntary commitments to prevent and remove harmful content. ,Responsible Use ,2024
New Jersey ,S 3432 ,Artificial Intelligence Investments ,Enacted,"Establishes the Next New Jersey Program for Artificial Intelligence Investments; provides that the Economic Development Authority would provide tax credits to eligible businesses, following approval of an application, to eligible AI businesses; provides that eligible AI businesses would include a business or division that is primarily engaged in the AI industry or large–scale AI data center industry. ",Effect on Labor/Employment ,2024
New Mexico,None,No AI Bill,No AI Bill,No AI Bill,No AI Bill,2019
New Mexico,None,No AI Bill,No AI Bill,No AI Bill,No AI Bill,2020
New Mexico,None,No AI Bill,No AI Bill,No AI Bill,No AI Bill,2021
New Mexico,S 72,Center for Dryland Resilience,Failed,"Makes an appropriation to the Board of Regents of New Mexico State University to establish the Center For Dryland Resilience as a collaborative effort with Eastern New Mexico University, the New Mexico Institute of Mining and Technology and the University of New Mexico and to build an ecological monitoring network, develop computer modeling and artificial intelligence solutions to diagnose and predict vulnerabilities in dryland systems and develop resilience strategies for the sustainable management of drylands.",Government Use,2022
New Mexico,HM 75 ,Children Youth and Families Department ,Failed,"Relates to children, youth and families Department structured decision–making study. ",Government Use; Effect on Labor/Employment ,2023
New Mexico,S 78 ,Center for Dryland Resilience ,Failed,Relates to the center for dryland resilience. ,Government Use ,2023
New Mexico,SM 63 ,Children Youth and Families Structured Decision–Making ,Failed,"Relates to the Children, Youth and Families Department structured decision–making study. ",Government Use; Effect on Labor/Employment ,2023
New Mexico,S 192 ,Appropriations and Legislative Confidentiality ,Enacted,"Makes general appropriations and authorizing expenditures, provides an exception to legislative confidentiality. ",Appropriations ,2023
New Mexico,H 184 ,Use of Artificial Intelligence Transparency ,Failed,Relates to use of AI transparency. ,Government Use; Impact Assessment ,2024
New Mexico,S 130 ,Artificial Intelligence Work Group ,Failed,Relates to AI work group. ,Government Use; Studies ,2024
New Mexico,H 182 ,Campaign Reporting Act ,Enacted,"Provides that if a person creates, produces or purchases an advertisement that contains materially deceptive media, which includes but is not limited to AI, the advertisement shall include a disclaimer; creates the crime of distributing or entering into an agreement with another person to distribute materially deceptive media to, among other things, mislead electors; provides for civil and criminal penalties. ",Elections ,2024
New York ,S 3971,Commission to Study Artificial Intelligence,Enacted,"Creates a temporary state commission to study and investigate how to regulate artificial intelligence, robotics and automation, provides for the repeal after the expiration thereof.",Effect on Labor/Employment; Studies,2019
New York ,A 1746,Artificial Intelligence Regulation Study,Failed,"Creates a temporary state commission to study and investigate how to regulate artificial intelligence, robotics, and automation, repeals such commission a specified time after this act takes effect.",Studies,2019
New York ,A 5605,Right of Privacy and the Right of Publicity,Failed,"Amends the civil rights law, relates to establishing the right of publicity and to providing a private right of action for unlawful dissemination or publication of a sexually explicit depiction of an individual.",Private Sector Use,2019
New York ,A 7040,Motor Vehicle Insurers,Failed,"Prohibits motor vehicle insurers from discrimination on the basis of socioeconomic factors in determining algorithms used to construct actuarial tables, coverage terms, premiums, and rates.",Private Sector Use; Responsible Use,2019
New York ,A 8446,Commission on the Future of Work,Failed,"Establishes the Commission on the Future of Work within the Department of Labor to research and understand the impact of technology on workers, employers, and the economy of the state.",Effect on Labor/Employment,2019
New York ,S 2101,Bail Elimination Act,Failed,"Enacts the Bail Elimination Act of 2019; provides that when a principal comes under the control of a court, the court shall release the principal on their personal recognizance or under non–monetary conditions. Provides that no algorithmic pretrial risk assessment tool should be used for decisions that may result in detention or electronic monitoring and may only recommend release or release with conditions.",Government Use,2019
New York ,S 4455,Computer Science Courses Regulations,Failed,"Requires regulations authorizing computer science courses to count towards liberal arts content at institutions of higher learning, defines computer science.",Education/Training,2019
New York ,S 6428,Automated Decision Systems Task Force,Pending ,"Creates the Automated Decision Systems Task Force to make specific recommendations on whether and how existing state laws, regulations, programs, policies, and practices related to the use of automated decision systems should be changed to promote fairness, accountability, and transparency.",Government Use; Studies,2019
New York ,S 5959,Right of Privacy and Right of Publicity,Enacted,"Amends the civil rights law, establishes the right of publicity and provides a private right of action for unlawful dissemination or publication of a sexually explicit depiction of an individual.",Private Sector Use,2020
New York ,A 5605,Right of Privacy and the Right of Publicity,Failed,"Amends the civil rights law, relates to establishing the right of publicity and to providing a private right of action for unlawful dissemination or publication of a sexually explicit depiction of an individual.",Private Sector Use,2020
New York ,S 6428,Automated Decision Systems Task Force,Failed,"Creates the Automated Decision Systems Task Force to make specific recommendations on whether and how existing state laws, regulations, programs, policies, and practices related to the use of automated decision systems should be changed to promote fairness, accountability, and transparency.",Government Use; Studies,2020
New York ,S 7667,Motor Vehicle Insurers,Failed,"Prohibits motor vehicle insurers from discrimination on the basis of socioeconomic factors in determining algorithms used to construct actuarial tables, coverage terms, premiums and/or rates.",Private Sector Use,2020
New York ,A 680,NY Privacy Act,Pending ,"Enacts the NY privacy act to require companies to disclose their methods of de–identifying personal information, to place special safeguards around data sharing and to allow consumers to obtain the names of all entities with whom their information is shared; creates a special account to fund a new office of privacy and data protection.",Private Sector Use,2021
New York ,A 2414,Commission on the Future of Work,Failed,"Establishes the Commission on the Future of Work within the Department of Labor to research and understand the impact of technology on workers, employers, and the economy of the state; requires such commission to submit a report along with any recommendations for legislative action to the governor and the legislature.",Effect on Labor/Employment; Studies,2021
New York ,A 3082,Motor Vehicle Insurers,Failed,"Prohibits motor vehicle insurers from discrimination on the basis of socioeconomic factors in determining algorithms used to construct actuarial tables, coverage terms, premiums and or rates.",Private Sector Use,2021
New York ,A 6042,Digital Fairness Act,Failed,"Enacts the ""Digital Fairness Act.""",Impact Assessments; Government Use; Private Sector Use; Studies,2021
New York ,A 7244,Sale of Automated Employment Decision Tools,Pending ,Establishes criteria for the sale of automated employment decision tools.,Private Sector Use,2021
New York ,S 5904,Motor Vehicle Insurers,Failed,"Prohibits motor vehicle insurers from discrimination on the basis of socioeconomic factors in determining algorithms used to construct actuarial tables, coverage terms, premiums and/or rates.",Private Sector Use,2021
New York ,S 6701,New York Privacy Act,Pending ,"Relates to the management and oversight of personal data; provides that each controller that processes a consumer’s personal data must make publicly and persistently available, in a conspicuous and readily accessible manner, a notice containing specified information.",Private Sector Use,2021
New York ,S 6852,Sale of Automated Employment Decision Tools,Failed,Establishes criteria for the sale of automated employment decision tools and provides a civil penalty for violations of such criteria.,Private Sector Use,2021
New York ,A 680,NY Privacy Act,Failed,"Enacts the NY privacy act to require companies to disclose their methods of de–identifying personal information, to place special safeguards around data sharing and to allow consumers to obtain the names of all entities with whom their information is shared; creates a special account to fund a new office of privacy and data protection.",Private Sector Use,2022
New York ,A 7244,Sale of Automated Employment Decision Tools,Failed,Establishes criteria for the sale of automated employment decision tools.,Private Sector Use,2022
New York ,A 9885,Workforce Development,Failed,"Creates the Commission to Study the Impact of Automation and Artificial Intelligence on the New York Labor Force. The commission shall work in collaboration with stakeholders in workforce development in the state university of New York, the City University of New York and the Department of Education as well as representatives of the business sector; requires the commission to be consist of eleven members to be appointed as follows five shall be appointed by the governor.",Effect on Labor/Employment,2022
New York ,S 6701,New York Privacy Act,Failed,"Relates to the management and oversight of personal data; provides that each controller that processes a consumer’s personal data must make publicly and persistently available, in a conspicuous and readily accessible manner, a notice containing specified information.",Private Sector Use,2022
New York ,A 567 ,Automated Employment Decision Tools ,Pending ,"Establishes criteria for the use of automated employment decision tools, provides for enforcement for violations of such criteria. ",Impact Assessment; Private Sector Use; Responsible Use ,2023
New York ,A 843 ,Motor Vehicle Insurer Discrimination ,Pending ,"Prohibits motor vehicle insurers from discrimination based on socioeconomic factors in determining algorithms used to construct actuarial tables, coverage terms, premiums and/or rates. ",Private Sector Use ,2023
New York ,A 3308 ,Digital Fairness Act ,Pending ,"Enacts the Digital Fairness Act, requires any entity that conducts business in New York and maintains the personal information of 500 or more individuals to provide meaningful notice about their use of personal information, establishes unlawful discriminatory practices relating to targeted advertising. ",Audit; Government Use; Impact Assessment; Responsible Use; Studies ,2023
New York ,A 3593 ,State Privacy Act ,Pending ,"Enacts the State Privacy Act to require companies to disclose their methods of de–identifying personal information, to place special safeguards around data sharing and to allow consumers to obtain the names of all entities with whom their information is shared. ",Audit; Government Use; Notification; Private Sector Use ,2023
New York ,A 4534 ,School Safety Planning and Training ,Pending ,"Relates to classroom safety mechanisms, emergency medical equipment, and evidence–based best practices for school safety planning and training. ",Government Use ,2023
New York ,A 4969 ,State Commission to Study Artificial Intelligence ,Vetoed ,"Creates a temporary state commission to study and investigate how to regulate artificial intelligence, robotics and automation, repeals such commission. ",Studies ,2023
New York ,A 5309 ,State Units ,Pending ,"Requires state units to purchase a product or service that is or contains an algorithmic decision system that adheres to responsible artificial intelligence standards, specifies content included in responsible artificial intelligence standards, requires the commissioner of taxation and finance to adopt certain regulations, alters the definition of unlawful discriminatory practice to include acts performed through algorithmic decision systems. ",Government Use; Responsible Use ,2023
New York ,A 7106 ,Political Artificial Intelligence Disclaimer (PAID) Act ,Pending ,"Amends the Election Law, in relation to the use and disclosure of synthetic media, provides that a political communication which was produced by or includes any synthetic media shall be required to disclose the use of such synthetic media, provides that the disclosure on printed or digital political communications, including but not limited to brochures, flyers, posters, mailings, or internet advertising shall be printed or typed in an appropriate legible form. ",Elections ,2023
New York ,A 7501 ,State Office of Algorithmic Innovation ,Pending ,"Creates a State Office of algorithmic Innovation to set policies and standards to ensure algorithms are safe, effective, fair, and ethical, and that the state is conducive to promoting algorithmic innovation. ",Oversight/Governance; Responsible Use ,2023
New York ,A 7634 ,Applicants of the Empire State Film Production Credit ,Pending ,"Amends the Tax Law, prohibits applicants of the empire state film production credit from using artificial intelligence that would displace any natural person in their productions. ",Effect on Labor/Employment; Private Sector Use ,2023
New York ,A 7838 ,Department of Labor Study on Artificial Intelligence ,Pending ,"Requires the Department of Labor to study the long–term impact of artificial intelligence on the state workforce including but not limited to on job performance, productivity, training, education requirements, privacy and security, prohibits any state entity from using artificial intelligence in any way that would displace any natural person from their employment with such state entity until the department's final report is received. ",Education/Training; Effect on Labor/Employment; Studies ,2023
New York ,A 7859 ,Employers and Employment Agencies ,Pending ,Requires employers and employment agencies to notify candidates for employment if machine learning technology is used to make hiring decisions prior to the use of such technology. ,Effect on Labor/Employment; Private Sector Use ,2023
New York ,A 7904 ,Disclosure of the Use of Artificial Intelligence ,Pending ,"Requires disclosure of the use of artificial intelligence in political communications, directs the state board of elections to create criteria for determining whether a political communication contains an image or video footage created through generative artificial intelligence and to create a definition of content generated by artificial intelligence. ",Elections ,2023
New York ,A 7906 ,Use of Automated Decision Tools by Landlords ,Pending ,"Relates to the use of automated decision tools by landlords for making housing decisions, sets conditions and rules for use of such tools. ",Private Sector Use ,2023
New York ,S 2277 ,Digital Fairness Act ,Pending ,"Enacts the Digital Fairness Act, requires any entity that conducts business in New York and maintains the personal information of 500 or more individuals to provide meaningful notice about their use of personal information, establishes unlawful discriminatory practices relating to targeted advertising. ",Audit; Government Use; Impact Assessment; Responsible Use; Studies ,2023
New York ,S 5641 ,Use of Automated Employment Decision Tools ,Pending ,"Establishes criteria for the use of automated employment decision tools, provides for enforcement for violations of such criteria. ",Impact Assessment; Private Sector Use; Responsible Use ,2023
New York ,S 6402 ,State Commission to Study Artificial Intelligence ,Pending ,"Creates a temporary state commission to study and investigate how to regulate artificial intelligence, robotics and automation, repeals such commission. ",Studies ,2023
New York ,S 6638 ,Political Artificial Intelligence Disclaimer Act ,Pending ,"Enacts the Political Artificial Intelligence Disclaimer Act, relates to the use and disclosure of synthetic media, provides that the disclosure on printed or digital political communications, including but not limited to brochures, flyers, posters, mailings, or internet advertising shall be printed or typed in an appropriate legible form. ",Elections ,2023
New York ,S 6685 ,Motor Vehicle Insurers ,Pending ,"Prohibits motor vehicle insurers from discrimination based on socioeconomic factors in determining algorithms used to construct actuarial tables, coverage terms, premiums and/or rates. ",Private Sector Use ,2023
New York ,S 6859 ,Advertisement Disclosures ,Pending ,"Amends the General Business Law, requires advertisements to disclose the use of synthetic media, imposes a $1,000 civil penalty for a first violation and a $5,000 penalty for any subsequent violation. ",Private Sector Use ,2023
New York ,S 7422 ,Applicants of the Empire State Film Production Credit ,Pending ,"Amends the Tax Law, prohibits applicants of the empire state film production credit from using artificial intelligence that would displace any natural person in their productions. ",Effect on Labor/Employment; Private Sector Use ,2023
New York ,S 7543 ,Loading Act ,Pending ,Enacts the legislative oversight of automated decision–making in government act to regulate the use of artificial intelligence techniques by state agencies. ,Government Use; Impact Assessment; Oversight/Governance ,2023
New York ,S 7592 ,Disclosure of the Use of Artificial Intelligence ,Pending ,"Requires disclosure of the use of artificial intelligence in political communications, directs the state board of elections to create criteria for determining whether a political communication contains an image or video footage created through generative artificial intelligence and to create a definition of content generated by artificial intelligence. ",Elections ,2023
New York ,S 7623 ,Use of Electronic Monitoring by Employer ,Pending ,"Restricts the use by an employer or an employment agency of electronic monitoring or an automated employment decision tool to screen a candidate or employee for an employment decision unless such tool has been the subject of a bias audit within the last year and the results of such audit have been made public, requires notice to employment candidates of the use of such tools, provides remedies, makes a technical change to the civil rights law. ",Audit; Impact Assessment; Private Sector Use; Responsible Use ,2023
New York ,A 567 ,Automated Employment Decision Tools ,Failed,Establishes criteria for the use of automated employment decision tools; provides for enforcement for violations of such criteria. ,Private Sector Use; Responsible Use; Impact Assessment ,2024
New York ,A 843 ,Motor Vehicle Insurer Discrimination ,Pending ,Prohibits motor vehicle insurers from discrimination based on socioeconomic factors. ,Private Sector Use ,2024
New York ,A 3308 ,Digital Fairness Act ,Pending ,Enacts the Digital Fairness Act; requires any entity that conducts business in New York and maintains the personal information of 500 or more individuals to provide meaningful notice about their use of personal information; establishes unlawful discriminatory practices relating to targeted advertising. ,Audit; Government Use; Impact Assessment; Responsible Use;  Studies ,2024
New York ,A 3593 ,State Privacy Act ,Pending ,"Enacts the State Privacy Act to require companies to disclose their methods of de–identifying personal information, to place special safeguards around data sharing and to allow consumers to obtain the names of all entities with whom their information is shared. ",Audit; Government Use; Notification; Private Sector Use;  ,2024
New York ,A 4534 ,School Safety Planning and Training ,Pending ,"Relates to classroom safety mechanisms, emergency medical equipment, and evidence–based best practices for school safety planning and training. ",Education Use; Government Use ,2024
New York ,A 4969 ,State Commission to Study Artificial Intelligence ,Vetoed ,"Creates a temporary state commission to study and investigate how to regulate AI, robotics and automation; repeals such commission. ",Studies ,2024
New York ,A 5296 ,Computer Science Course Requirement ,Pending ,Creates a computer science course requirement for graduation from high school; directs the department of education to design and implement such program. ,Education/Training ,2024
New York ,A 5309 ,State Units ,Pending ,Requires state units to purchase a product or service that is or contains an algorithmic decision system that adheres to responsible AI standards; specifies content included in responsible AI standards; requires the commissioner of taxation and finance to adopt certain regulations; alters the definition of unlawful discriminatory practice to include acts performed through algorithmic decision systems. ,Government Use; Responsible Use ,2024
New York ,A 7106 ,Political Artificial Intelligence Disclaimer (PAID) Act ,Pending ,"Amends the Election Law, in relation to the use and disclosure of synthetic media; provides that any political communication which was produced by or includes any synthetic media shall be required to disclose the use of such synthetic media; provides that the disclosure on printed or digital political communications, including but not limited to brochures, flyers, posters, mailings, or internet advertising shall be printed or typed in an appropriate legible form. ",Elections ,2024
New York ,A 7501 ,State Office of Algorithmic Innovation ,Pending ,"Creates a state Office of Algorithmic Innovation to set policies and standards to ensure algorithms are safe, effective, fair and ethical and that the state is conducive to promoting algorithmic innovation. ",Oversight/Governance; Responsible Use ,2024
New York ,A 7634 ,Applicants of the Empire State Film Production Credit ,Pending ,Amends the Tax Law; prohibits applicants of the Empire State Film Production Credit from using AI that would displace any natural person in their productions. ,Effect on Labor/Employment; Private Sector Use ,2024
New York ,A 7838 ,Department of Labor Study on Artificial Intelligence ,Pending ,"Requires the Department of Labor to study the long–term impact of AI on the state workforce including but not limited to on job performance, productivity, training, education requirements, privacy and security; prohibits any state entity from using AI in any way that would displace any natural person from their employment with such state entity until the department's final report is received. ",Effect on Labor/Employment; Studies; Education/Training ,2024
New York ,A 7859 ,Employers and Employment Agencies ,Pending ,Requires employers and employment agencies to notify candidates for employment if machine learning technology is used to make hiring decisions prior to the use of such technology. ,Effect on Labor/Employment; Private Sector Use ,2024
